"40","45 S 3RD ST,  New York, ,  11249","Match","Non_Exact","45 S 3RD ST, BROOKLYN, NY, 11249","-73.96561957099993,40.71352219500005","650082911","L"
"41","NKA HIGH LINE PARK WEST 15TH ST,  New York, ,  10011","No_Match"
"42","NKA PENN STATION A,  New York, ,  10121","No_Match"
"43","122 E 42ND ST,  New York, ,  10168","Match","Non_Exact","122 E 42ND ST, NEW YORK, NY, 10017","-73.97628490999995,40.75153467600006","59658687","R"
"44","122 E 42ND ST,  New York, ,  10168","Match","Non_Exact","122 E 42ND ST, NEW YORK, NY, 10017","-73.97628490999995,40.75153467600006","59658687","R"
"45","JFK INTL AIRPORT,  New York, ,  11430","No_Match"
"46","122 E 42ND ST,  New York, ,  10168","Match","Non_Exact","122 E 42ND ST, NEW YORK, NY, 10017","-73.97628490999995,40.75153467600006","59658687","R"
"47","45 S 3RD ST,  New York, ,  11249","Match","Non_Exact","45 S 3RD ST, BROOKLYN, NY, 11249","-73.96561957099993,40.71352219500005","650082911","L"
"48","NKA LAGUARDIA AIRPORT TERMINAL B,  New York, ,  11371","No_Match"
"49","NKA PENN STATION A,  New York, ,  10121","No_Match"
"50","70 72 KENMARE ST,  New York, ,  10012","No_Match"
"51","45 S 3RD ST,  New York, ,  11249","Match","Non_Exact","45 S 3RD ST, BROOKLYN, NY, 11249","-73.96561957099993,40.71352219500005","650082911","L"
"52","45 S 3RD ST,  New York, ,  11249","Match","Non_Exact","45 S 3RD ST, BROOKLYN, NY, 11249","-73.96561957099993,40.71352219500005","650082911","L"
"53","9717/25 QUEENS BLVD,  New York, ,  11374","No_Match"
"54","JFK INTL AIRPORT,  New York, ,  11430","No_Match"
"55","47 S 5TH ST,  New York, ,  11249","Match","Non_Exact","47 S 5TH ST, BROOKLYN, NY, 11249","-73.96664307199995,40.712232638000046","59075970","L"
"56","47 S 5TH ST,  New York, ,  11249","Match","Non_Exact","47 S 5TH ST, BROOKLYN, NY, 11249","-73.96664307199995,40.712232638000046","59075970","L"
"57","47 S 5TH ST,  New York, ,  11249","Match","Non_Exact","47 S 5TH ST, BROOKLYN, NY, 11249","-73.96664307199995,40.712232638000046","59075970","L"
"58","NKA high line park west 30th street,  New York, ,  10011","No_Match"
"59","47 S 5TH ST,  New York, ,  11249","Match","Non_Exact","47 S 5TH ST, BROOKLYN, NY, 11249","-73.96664307199995,40.712232638000046","59075970","L"
"60","94 WYTHE AVE,  New York, ,  11249","Match","Non_Exact","94 WYTHE AVE, BROOKLYN, NY, 11249","-73.95835853799997,40.72146128500003","59075944","R"
"61","47 S 5TH ST,  New York, ,  11249","Match","Non_Exact","47 S 5TH ST, BROOKLYN, NY, 11249","-73.96664307199995,40.712232638000046","59075970","L"
"62","45 S 3RD ST,  New York, ,  11249","Match","Non_Exact","45 S 3RD ST, BROOKLYN, NY, 11249","-73.96561957099993,40.71352219500005","650082911","L"
"63","NKA PENN STATION A,  New York, ,  10121","No_Match"
"64","122 E 42ND ST,  New York, ,  10168","Match","Non_Exact","122 E 42ND ST, NEW YORK, NY, 10017","-73.97628490999995,40.75153467600006","59658687","R"
"65","45 S 3RD ST,  New York, ,  11249","Match","Non_Exact","45 S 3RD ST, BROOKLYN, NY, 11249","-73.96561957099993,40.71352219500005","650082911","L"
"66","NKA HIGH LINE PK WEST 22ND ST,  New York, ,  10001","No_Match"
"67","47 S 5TH ST,  New York, ,  11249","Match","Non_Exact","47 S 5TH ST, BROOKLYN, NY, 11249","-73.96664307199995,40.712232638000046","59075970","L"
"68","NKA PENN STATION A,  New York, ,  10121","No_Match"
"69","M10-33-SB BTWN 69TH & 70TH ST,  New York, ,  10023","No_Match"
"70","9717/25 QUEENS BLVD,  New York, ,  11374","No_Match"
"71","45 S 3RD ST,  New York, ,  11249","Match","Non_Exact","45 S 3RD ST, BROOKLYN, NY, 11249","-73.96561957099993,40.71352219500005","650082911","L"
"72","HECKSCHER BALLFIELDS IN CENTRAL PARK,  New York, ,  10023","No_Match"
"73","45 S 3RD ST,  New York, ,  11249","Match","Non_Exact","45 S 3RD ST, BROOKLYN, NY, 11249","-73.96561957099993,40.71352219500005","650082911","L"
"74","959 NASSAU RD,  New York, ,  11553","Match","Non_Exact","959 NASSAU RD, UNIONDALE, NY, 11553","-73.59562895799996,40.68806547400004","147833012","L"
"75","122 E 42ND ST,  New York, ,  10168","Match","Non_Exact","122 E 42ND ST, NEW YORK, NY, 10017","-73.97628490999995,40.75153467600006","59658687","R"
"76","45 S 3RD ST,  New York, ,  11249","Match","Non_Exact","45 S 3RD ST, BROOKLYN, NY, 11249","-73.96561957099993,40.71352219500005","650082911","L"
"77","122 E 42ND ST,  New York, ,  10168","Match","Non_Exact","122 E 42ND ST, NEW YORK, NY, 10017","-73.97628490999995,40.75153467600006","59658687","R"
"78","JFK INTERNATIONAL AIRPORT TERM,  New York, ,  11430","No_Match"
"79","BOARDWALK AT WEST 8TH STREET,  New York, ,  11224","Match","Non_Exact","BOARDWALK W & W 8TH ST, BROOKLYN, NY, 11224","-73.97700639399994,40.57346812500003","",""
"Unique ID","Street_address, City, State, ZIP","No_Match"
"100","94 WYTHE AVE,  New York, ,  11249","Match","Non_Exact","94 WYTHE AVE, BROOKLYN, NY, 11249","-73.95835853799997,40.72146128500003","59075944","R"
"101","122 E 42ND ST,  New York, ,  10168","Match","Non_Exact","122 E 42ND ST, NEW YORK, NY, 10017","-73.97628490999995,40.75153467600006","59658687","R"
"102","47 S 5TH ST,  New York, ,  11249","Match","Non_Exact","47 S 5TH ST, BROOKLYN, NY, 11249","-73.96664307199995,40.712232638000046","59075970","L"
"103","45 S 3RD ST,  New York, ,  11249","Match","Non_Exact","45 S 3RD ST, BROOKLYN, NY, 11249","-73.96561957099993,40.71352219500005","650082911","L"
"104","NKA PENN STATION A,  New York, ,  10121","No_Match"
"105","45 S 3RD ST,  New York, ,  11249","Match","Non_Exact","45 S 3RD ST, BROOKLYN, NY, 11249","-73.96561957099993,40.71352219500005","650082911","L"
"106","LAGUARDIA AIRPORT CENTRAL TERMINAL B,  New York, ,  11371","No_Match"
"80","45 S 3RD ST,  New York, ,  11249","Match","Non_Exact","45 S 3RD ST, BROOKLYN, NY, 11249","-73.96561957099993,40.71352219500005","650082911","L"
"107","NKA HIGHLINE PARK WEST 15TH STREET,  New York, ,  10011","No_Match"
"81","94 WYTHE AVE,  New York, ,  11249","Match","Non_Exact","94 WYTHE AVE, BROOKLYN, NY, 11249","-73.95835853799997,40.72146128500003","59075944","R"
"108","9717/25 QUEENS BLVD,  New York, ,  11374","No_Match"
"82","45 S 3RD ST,  New York, ,  11249","Match","Non_Exact","45 S 3RD ST, BROOKLYN, NY, 11249","-73.96561957099993,40.71352219500005","650082911","L"
"109","45 S 3RD ST,  New York, ,  11249","Match","Non_Exact","45 S 3RD ST, BROOKLYN, NY, 11249","-73.96561957099993,40.71352219500005","650082911","L"
"83","BOARDWALK AT WEST 8TH STREET,  New York, ,  11224","Match","Non_Exact","BOARDWALK W & W 8TH ST, BROOKLYN, NY, 11224","-73.97700639399994,40.57346812500003","",""
"84","45 S 3RD ST,  New York, ,  11249","Match","Non_Exact","45 S 3RD ST, BROOKLYN, NY, 11249","-73.96561957099993,40.71352219500005","650082911","L"
"85","122 E 42ND ST,  New York, ,  10168","Match","Non_Exact","122 E 42ND ST, NEW YORK, NY, 10017","-73.97628490999995,40.75153467600006","59658687","R"
"86","200 VESEY STREET,  New York, ,  10285","No_Match"
"87","9101 9105 ASTORIA BLVD,  New York, ,  11369","No_Match"
